title,address,phone,link,url,hours
Columbus Café & Co,"6 Pl. Carnot, 11000 Carcassonne, France",+33 4 68 26 08 54,https://www.columbuscafe.com/boutique/carcassonne-6-place-carnot/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website%E2%81%A0,https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co+Carcassonne&stick=H4sIAAAAAAAA_-NgU1I1qDA0Skw1SrFMTElMS0mxTDK2MqhIM7IwNza2MEwysDA2skxNW8Qq75yfU5qbVFqs4JyYdnilgpqCcz6QWZScWFycn5eXCgDq6LyBSwAAAA&hl=fr&mat=CWVjN1UBJTEbElcBEKoLab-3b9Y60C3p7VUN7YOYdM7KbmX4K2-Eb-BNrrxIE-wtYtSD2QIwazF0arle49jHf8UvJ23cwm0_D0_u9WB8yuUNrpFRMIt79mEInyf-0MI9Yj4&authuser=0,"{'lundi': '08:00–19:00', 'mardi': '08:00–19:00', 'mercredi': '08:00–19:00', 'jeudi': '08:00–19:00', 'vendredi': '08:00–19:00', 'samedi': '08:00–19:00', 'dimanche': '08:30–17:00'}"
Columbus Café & Co,"9 Rue Jean Legendre, 60200 Compiègne, France",+33 3 44 93 66 43,https://www.columbuscafe.com/boutique/compiegne-rue-jean-legendre/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website%E2%81%A0,https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co+Compi%C3%A8gne&stick=H4sIAAAAAAAA_-NgU1I1qDAxTzVPMTdOTDExTTI1MTW2MqhINDSyNDMzS7QwNUozNTROWcQq55yfU5qbVFqs4JyYdnilgpqCcz4Q5RZkHl6RnpcKAIFJqylKAAAA&hl=fr&mat=CWC-I9C3xdFUElcBEKoLaUdHgZnZuCxxQLLvd32bFHwVAtOGz9g5O7g3OlZqmWCrfaGALYqGJh1wwuk1RZzbOdknxQbPSTCub5rgJgjBGGYha5coquhz71zM1bPLamIp9HE&authuser=0,"{'lundi': '07:30–19:00', 'mardi': '07:30–19:00', 'mercredi': '07:30–19:00', 'jeudi': '07:30–19:00', 'vendredi': '07:30–19:00', 'samedi': '07:30–19:00', 'dimanche': '10:00–18:00'}"
Columbus Café & Co,"Centre commercial Auchan, Rte d'Alençon, 72650 La Chapelle-Saint-Aubin, France",+33 2 43 77 99 72,https://www.columbuscafe.com/boutique/la-chapelle-saint-aubin-centre-commercial-auchan-zac-du-moulin-aux-moines/,https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co+La+Chapelle+Saint-Aubin&stick=H4sIAAAAAAAA_-NgU1I1qDAxTzWysEy0NDU3MTM1T7O0MqgwNElLsjQ0Tku2tEwzTU5NXMSq7ZyfU5qbVFqs4JyYdnilgpqCc76CT6KCc0ZiQWpOTqpCcGJmXomuY2lSZh4ACFMiF1cAAAA&hl=fr&mat=CWF8uSQIqkIiElcBEKoLadw3dDXEcC1b0-lZCL0xjUkazkqI-XWyOai-oHIqS1wDl9qyFECHvvnz5nZVHT0YVqljKbRfY0JjCqoN8PcirxyYdCLC2yiYADDQAgYQuec6dnA&authuser=0,"{'lundi': '08:30–20:00', 'mardi': '08:30–20:00', 'mercredi': '08:30–20:00', 'jeudi': '08:30–20:00', 'vendredi': '08:30–20:00', 'samedi': '08:30–20:00', 'dimanche': 'Fermé'}"
Columbus Café & Co,"23 Rue Sornin, 03200 Vichy, France",,https://www.columbuscafe.com/boutique/vichy-rue-sornin/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website,https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co+Vichy&sca_esv=033c270f53017be6&hl=fr&authuser=0&ei=nnfNZqqpGPLAhbIPhNKk0AI&ved=0ahUKEwiq8PLzypSIAxVyYEEAHQQpCSoQ4dUDCA8&uact=5&oq=Columbus+Caf%C3%A9+%26+Co+Vichy&gs_lp=Egxnd3Mtd2l6LXNlcnAiGUNvbHVtYnVzIENhZsOpICYgQ28gVmljaHkyBRAAGIAEMgYQABgWGB4yBhAAGBYYHjIIEAAYgAQYogQyCBAAGIAEGKIEMggQABiiBBiJBTIIEAAYgAQYogQyCBAAGIAEGKIESLgJUJ8FWJ8FcAF4AZABAJgByAOgAcgDqgEDNC0xuAEDyAEA-AEB-AECmAICoALVA6gCCsICGRAuGIAEGNEDGEMYtAIYxwEYigUY6gLYAQHCAhMQABiABBhDGLQCGIoFGOoC2AEBwgIWEC4YgAQYQxjUAhi0AhiKBRjqAtgBAcICFBAAGIAEGOMEGLQCGOkEGOoC2AEBmAMIugYECAEYB5IHBTEuNC0xoAfJBQ&sclient=gws-wiz-serp,"{'lundi': '08:00–19:00', 'mardi': '08:00–19:00', 'mercredi': '08:00–19:00', 'jeudi': '08:00–19:00', 'vendredi': '08:00–19:00', 'samedi': '08:00–19:00', 'dimanche': '10:00–19:00'}"
Columbus Café & Co,"Galerie Nice, 52 Bd Gorbella, 06000 Nice, France",+33 4 93 72 59 35,https://www.columbuscafe.com/boutique/nice-galerie-le-ray/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website,https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co+Nice+Le+Ray&stick=H4sIAAAAAAAA_-NgU1I1qDA0Sk5JTktKTkozT7RITE2xMqhIMUtMM0s0TzOwNDMzMTA3W8Qq75yfU5qbVFqs4JyYdnilgpqCc76CX2ZyqoJPqkJQYiUAPiCt3EsAAAA&hl=fr&mat=Ca05ZEmzvPXMElYBEKoLaQF_Gh6PVdviAEn9DZnEfDZe3lUEnA7f2isxYVTtRLw1fVj-Jh8REe0f_Nlr7oyEiv65FUFxsLVhknqBCe10Mb1y24HzAV5HhbZPLQUDmZps_w&authuser=0,"{'lundi': '08:00–19:15', 'mardi': '08:00–19:15', 'mercredi': '08:00–19:15', 'jeudi': '08:00–19:15', 'vendredi': '08:00–19:15', 'samedi': '08:00–19:15', 'dimanche': '08:00–13:00'}"
Columbus Café & Co,"66 Pl. d'Allier, 03000 Moulins, France",,https://www.columbuscafe.com/boutique/moulins-66-place-dallier/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website%E2%81%A0,https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co&stick=H4sIAAAAAAAA_-NgU1I1qDAxTzM0TDEwME8ysEhJMUqzMqhINjUxNrA0TjRJTUozNzUxW8Qq7JyfU5qbVFqs4JyYdnilgpqCcz4A1dvFjj8AAAA&hl=fr&mat=CdKuvyKCR0U1ElcBEKoLaS5fLuSpkSF16YJnhX6vwqW0Yf6OsO3-rFm-omLCsR1jeGVrOya2eU_-4dv2r8G6y6pTfuNftcNKrywzN3EZ8aFvlKrcZczS7qssN-SXrvSvrnY&authuser=0,"{'lundi': '10:00–19:00', 'mardi': '09:00–19:00', 'mercredi': '09:00–19:00', 'jeudi': '09:00–19:00', 'vendredi': '09:00–19:00', 'samedi': '09:00–19:00', 'dimanche': '09:00–14:00'}"
Columbus Café & Co,"16 Bd Jean Jaurès, 06300 Nice, France",,https://www.columbuscafe.com/boutique/nice-centre-ville/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website,https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co&stick=H4sIAAAAAAAA_-NgU1I1qDA0Sk5JSUpLTDVKSjFPsrS0MqhITjMwMTZINk41sTQxMLAwXsQq7JyfU5qbVFqs4JyYdnilgpqCcz4A50ty4D8AAAA&hl=fr&mat=CVotdruZLwBBElcBEKoLaeFfOYnK9nURsrs_0r3V3owL-rzXrEit6Nl4i-WwDZZbdurBwM5ee7o-H8mFF7SS2Y7Tj6ESe1AqwethfhVrTZBt9Jj7AMg8dJK6YLz1KZM5Rk8&authuser=0,"{'lundi': '07:30–19:30', 'mardi': '07:30–19:30', 'mercredi': '07:30–19:30', 'jeudi': '07:30–19:30', 'vendredi': '07:30–19:30', 'samedi': '07:30–19:30', 'dimanche': '08:30–18:30'}"
Columbus Café & Co,"Entrée Galerie Leroy Merlin, 7 Rue de Lisbonne, 93110 Rosny-sous-Bois, France",,https://www.columbuscafe.com/boutique/rosny-sous-bois-rue-de-lisbonne/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website%E2%81%A0,https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co+Rosny-sous-Bois&stick=H4sIAAAAAAAA_-NgU1IxqDAxTzUzNE4zTTEwNDBNNk6yMqhINTJOA3ItTFPNUo1TjRaxKjvn55TmJpUWKzgnph1eqaCm4JyvEJRfnFepW5xfWqzrlJ9ZDAD9t8NrTgAAAA&hl=fr&mat=CUv7kYIf-iPqElcBEKoLaRLhYRKJ67w3jN57JksRrs0XId5DSJ_9CUVKeJ1oudkmOGdTqrkWTxpd8-Ih2ZGD849rlOPwrw1AQt2hjubGCQKKF3QxxdZ_ne3cIJ-P1VAdfBg&authuser=0,"{'lundi': '07:00–19:00', 'mardi': '07:00–19:00', 'mercredi': '07:00–19:00', 'jeudi': '07:00–19:00', 'vendredi': '07:00–19:00', 'samedi': '07:00–19:00', 'dimanche': '07:00–19:00'}"
Columbus Café & Co,"2 Av. Georges Nuttin, 59400 Cambrai, France",,https://www.columbuscafe.com/boutique/cambrai-avenue-georges-nuttin/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website,https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co&stick=H4sIAAAAAAAA_-NgU1I1qDAxTzZKSjJONjZITDM2S7S0MqhITk01MDU0sTCyNEuxME82XsQq7JyfU5qbVFqs4JyYdnilgpqCcz4ADkJlmD8AAAA&hl=fr&mat=CWlWYPomrxNCElYBEKoLaX4QDWhzeEPVOXLnUBYn916v5fu1hcx8Dr3_ghosZ6qxHozPliJUrgG54OYFootlPptBHfGxX3EuUjm0rkYEFbkaNVGRf1P_pAJd1x0grl_Zxg&authuser=0,"{'lundi': '08:30–19:30', 'mardi': '08:30–19:30', 'mercredi': '08:30–19:30', 'jeudi': '08:30–19:30', 'vendredi': '08:30–19:30', 'samedi': '08:30–19:30', 'dimanche': 'Fermé'}"
Columbus Café & Co,"181 Rue d'Artois Centre commercial E.Leclerc, 45160 Olivet, France",+33 2 38 47 83 03,,https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co+Olivet&stick=H4sIAAAAAAAA_-NgU1I1qDAxTzVJNU1KNDRKSTMxtjC0MqgwMjRKTTU1TDNPTUmxMDRPWsQq5ZyfU5qbVFqs4JyYdnilgpqCc76Cf05mWWoJABTrqThGAAAA&hl=fr&mat=CY2j55_p3RmLElYBEKoLadP_VPy0HGniAfnVXjhhag5jwlYueIR7nSehMCM5_cq4sGVw3OkbLfF1y8VBQXy4o4KTSrM5ABWSZsmcJrAbCRgW3eBZH51uRgpqCtPxsZ3WfA&authuser=0,"{'lundi': '08:30–19:30', 'mardi': '08:30–19:30', 'mercredi': '08:30–19:30', 'jeudi': '08:30–19:30', 'vendredi': '08:30–19:30', 'samedi': '08:30–19:30', 'dimanche': 'Fermé'}"
